agency_id,agency_name,agency_type,state,district,nodal_officer_designation,contact_email_synthetic,performance_rating,active_status,synthetic_demo_data
AGY-SYNTH-0116,Hyderabad State Renewable Energy Development Corp (Demo) Unit-1,State Renewable Energy Development Corp (Demo),Telangana,Hyderabad,Nodal Officer (Demo Code 116),officer.demo.0116@hyderabad.synthetic.gov.in,3.36,Active,True
AGY-SYNTH-0117,Lucknow Zilla Parishad Engineering Division (Demo) Unit-2,Zilla Parishad Engineering Division (Demo),Uttar Pradesh,Lucknow,Nodal Officer (Demo Code 117),officer.demo.0117@lucknow.synthetic.gov.in,3.58,Active,True
AGY-SYNTH-0118,Nagpur Public Works Dept (Demo) Unit-3,Public Works Dept (Demo),Maharashtra,Nagpur,Nodal Officer (Demo Code 118),officer.demo.0118@nagpur.synthetic.gov.in,3.62,Active,True
AGY-SYNTH-0119,Cuttack Rural Development Agency (Demo) Unit-4,Rural Development Agency (Demo),Odisha,Cuttack,Nodal Officer (Demo Code 119),officer.demo.0119@cuttack.synthetic.gov.in,3.97,Active,True
AGY-SYNTH-0120,Bhopal Water Supply & Sanitation Board (Demo) Unit-5,Water Supply & Sanitation Board (Demo),Madhya Pradesh,Bhopal,Nodal Officer (Demo Code 120),officer.demo.0120@bhopal.synthetic.gov.in,4.42,Active,True
AGY-SYNTH-0121,Ahmedabad Water Supply & Sanitation Board (Demo) Unit-1,Water Supply & Sanitation Board (Demo),Gujarat,Ahmedabad,Nodal Officer (Demo Code 121),officer.demo.0121@ahmedabad.synthetic.gov.in,3.45,Active,True
AGY-SYNTH-0122,Khordha Rural Development Agency (Demo) Unit-2,Rural Development Agency (Demo),Odisha,Khordha,Nodal Officer (Demo Code 122),officer.demo.0122@khordha.synthetic.gov.in,4.52,Active,True
AGY-SYNTH-0123,Krishna State Sports Infrastructure Authority (Demo) Unit-3,State Sports Infrastructure Authority (Demo),Andhra Pradesh,Krishna,Nodal Officer (Demo Code 123),officer.demo.0123@krishna.synthetic.gov.in,3.29,Active,True
AGY-SYNTH-0124,Madurai State Sports Infrastructure Authority (Demo) Unit-4,State Sports Infrastructure Authority (Demo),Tamil Nadu,Madurai,Nodal Officer (Demo Code 124),officer.demo.0124@madurai.synthetic.gov.in,3.43,Active,True
AGY-SYNTH-0125,Thiruvananthapuram State Renewable Energy Development Corp (Demo) Unit-5,State Renewable Energy Development Corp (Demo),Kerala,Thiruvananthapuram,Nodal Officer (Demo Code 125),officer.demo.0125@thiruvananthapuram.synthetic.gov.in,4.82,Active,True
AGY-SYNTH-0126,Patna Irrigation & Flood Management Dept (Demo) Unit-1,Irrigation & Flood Management Dept (Demo),Bihar,Patna,Nodal Officer (Demo Code 126),officer.demo.0126@patna.synthetic.gov.in,4.61,Active,True
AGY-SYNTH-0127,Bengaluru Urban State Sports Infrastructure Authority (Demo) Unit-2,State Sports Infrastructure Authority (Demo),Karnataka,Bengaluru Urban,Nodal Officer (Demo Code 127),officer.demo.0127@bengaluruurban.synthetic.gov.in,3.97,Active,True
AGY-SYNTH-0128,Gaya Zilla Parishad Engineering Division (Demo) Unit-3,Zilla Parishad Engineering Division (Demo),Bihar,Gaya,Nodal Officer (Demo Code 128),officer.demo.0128@gaya.synthetic.gov.in,4.5,Active,True
AGY-SYNTH-0129,Gaya Water Supply & Sanitation Board (Demo) Unit-4,Water Supply & Sanitation Board (Demo),Bihar,Gaya,Nodal Officer (Demo Code 129),officer.demo.0129@gaya.synthetic.gov.in,3.67,Active,True
AGY-SYNTH-0130,Agra Water Supply & Sanitation Board (Demo) Unit-5,Water Supply & Sanitation Board (Demo),Uttar Pradesh,Agra,Nodal Officer (Demo Code 130),officer.demo.0130@agra.synthetic.gov.in,3.66,Active,True
AGY-SYNTH-0131,Ernakulam Rural Development Agency (Demo) Unit-1,Rural Development Agency (Demo),Kerala,Ernakulam,Nodal Officer (Demo Code 131),officer.demo.0131@ernakulam.synthetic.gov.in,3.44,Active,True
AGY-SYNTH-0132,Kamrup Metropolitan Municipal Engineering Cell (Demo) Unit-2,Municipal Engineering Cell (Demo),Assam,Kamrup Metropolitan,Nodal Officer (Demo Code 132),officer.demo.0132@kamrupmetropolitan.synthetic.gov.in,4.4,Active,True
AGY-SYNTH-0133,Surat State Renewable Energy Development Corp (Demo) Unit-3,State Renewable Energy Development Corp (Demo),Gujarat,Surat,Nodal Officer (Demo Code 133),officer.demo.0133@surat.synthetic.gov.in,4.12,Active,True
AGY-SYNTH-0134,Belagavi Irrigation & Flood Management Dept (Demo) Unit-4,Irrigation & Flood Management Dept (Demo),Karnataka,Belagavi,Nodal Officer (Demo Code 134),officer.demo.0134@belagavi.synthetic.gov.in,3.86,Active,True
AGY-SYNTH-0135,Kamrup Metropolitan Public Works Dept (Demo) Unit-5,Public Works Dept (Demo),Assam,Kamrup Metropolitan,Nodal Officer (Demo Code 135),officer.demo.0135@kamrupmetropolitan.synthetic.gov.in,4.66,Active,True
AGY-SYNTH-0136,Ajmer State Sports Infrastructure Authority (Demo) Unit-1,State Sports Infrastructure Authority (Demo),Rajasthan,Ajmer,Nodal Officer (Demo Code 136),officer.demo.0136@ajmer.synthetic.gov.in,3.21,Active,True
AGY-SYNTH-0137,Khordha Irrigation & Flood Management Dept (Demo) Unit-2,Irrigation & Flood Management Dept (Demo),Odisha,Khordha,Nodal Officer (Demo Code 137),officer.demo.0137@khordha.synthetic.gov.in,4.65,Active,True
AGY-SYNTH-0138,Surat Water Supply & Sanitation Board (Demo) Unit-3,Water Supply & Sanitation Board (Demo),Gujarat,Surat,Nodal Officer (Demo Code 138),officer.demo.0138@surat.synthetic.gov.in,4.03,Active,True
AGY-SYNTH-0139,Darjeeling Public Works Dept (Demo) Unit-4,Public Works Dept (Demo),West Bengal,Darjeeling,Nodal Officer (Demo Code 139),officer.demo.0139@darjeeling.synthetic.gov.in,3.86,Active,True
AGY-SYNTH-0140,Krishna Irrigation & Flood Management Dept (Demo) Unit-5,Irrigation & Flood Management Dept (Demo),Andhra Pradesh,Krishna,Nodal Officer (Demo Code 140),officer.demo.0140@krishna.synthetic.gov.in,4.43,Active,True
AGY-SYNTH-0141,Tiruchirappalli Public Works Dept (Demo) Unit-1,Public Works Dept (Demo),Tamil Nadu,Tiruchirappalli,Nodal Officer (Demo Code 141),officer.demo.0141@tiruchirappalli.synthetic.gov.in,4.74,Active,True
AGY-SYNTH-0142,Hyderabad Public Works Dept (Demo) Unit-2,Public Works Dept (Demo),Telangana,Hyderabad,Nodal Officer (Demo Code 142),officer.demo.0142@hyderabad.synthetic.gov.in,3.34,Active,True
AGY-SYNTH-0143,Kolkata Municipal Engineering Cell (Demo) Unit-3,Municipal Engineering Cell (Demo),West Bengal,Kolkata,Nodal Officer (Demo Code 143),officer.demo.0143@kolkata.synthetic.gov.in,3.29,Active,True
AGY-SYNTH-0144,Belagavi State Sports Infrastructure Authority (Demo) Unit-4,State Sports Infrastructure Authority (Demo),Karnataka,Belagavi,Nodal Officer (Demo Code 144),officer.demo.0144@belagavi.synthetic.gov.in,3.76,Active,True
AGY-SYNTH-0145,Ajmer Zilla Parishad Engineering Division (Demo) Unit-5,Zilla Parishad Engineering Division (Demo),Rajasthan,Ajmer,Nodal Officer (Demo Code 145),officer.demo.0145@ajmer.synthetic.gov.in,4.48,Active,True
AGY-SYNTH-0146,Varanasi Rural Development Agency (Demo) Unit-1,Rural Development Agency (Demo),Uttar Pradesh,Varanasi,Nodal Officer (Demo Code 146),officer.demo.0146@varanasi.synthetic.gov.in,4.0,Active,True
AGY-SYNTH-0147,Aurangabad State Renewable Energy Development Corp (Demo) Unit-2,State Renewable Energy Development Corp (Demo),Maharashtra,Aurangabad,Nodal Officer (Demo Code 147),officer.demo.0147@aurangabad.synthetic.gov.in,3.58,Active,True
AGY-SYNTH-0148,Muzaffarpur Public Works Dept (Demo) Unit-3,Public Works Dept (Demo),Bihar,Muzaffarpur,Nodal Officer (Demo Code 148),officer.demo.0148@muzaffarpur.synthetic.gov.in,4.48,Active,True
AGY-SYNTH-0149,Dharwad Public Works Dept (Demo) Unit-4,Public Works Dept (Demo),Karnataka,Dharwad,Nodal Officer (Demo Code 149),officer.demo.0149@dharwad.synthetic.gov.in,4.26,Active,True
AGY-SYNTH-0150,North 24 Parganas Rural Development Agency (Demo) Unit-5,Rural Development Agency (Demo),West Bengal,North 24 Parganas,Nodal Officer (Demo Code 150),officer.demo.0150@north24parganas.synthetic.gov.in,4.16,Active,True
AGY-SYNTH-0151,Kamrup Metropolitan Zilla Parishad Engineering Division (Demo) Unit-1,Zilla Parishad Engineering Division (Demo),Assam,Kamrup Metropolitan,Nodal Officer (Demo Code 151),officer.demo.0151@kamrupmetropolitan.synthetic.gov.in,4.5,Active,True
AGY-SYNTH-0152,Gwalior Rural Development Agency (Demo) Unit-2,Rural Development Agency (Demo),Madhya Pradesh,Gwalior,Nodal Officer (Demo Code 152),officer.demo.0152@gwalior.synthetic.gov.in,4.52,Active,True
AGY-SYNTH-0153,Prayagraj Rural Development Agency (Demo) Unit-3,Rural Development Agency (Demo),Uttar Pradesh,Prayagraj,Nodal Officer (Demo Code 153),officer.demo.0153@prayagraj.synthetic.gov.in,4.18,Active,True
AGY-SYNTH-0154,Bhopal Irrigation & Flood Management Dept (Demo) Unit-4,Irrigation & Flood Management Dept (Demo),Madhya Pradesh,Bhopal,Nodal Officer (Demo Code 154),officer.demo.0154@bhopal.synthetic.gov.in,3.87,Active,True
AGY-SYNTH-0155,Thane Water Supply & Sanitation Board (Demo) Unit-5,Water Supply & Sanitation Board (Demo),Maharashtra,Thane,Nodal Officer (Demo Code 155),officer.demo.0155@thane.synthetic.gov.in,3.37,Active,True
AGY-SYNTH-0156,Warangal Rural Development Agency (Demo) Unit-1,Rural Development Agency (Demo),Telangana,Warangal,Nodal Officer (Demo Code 156),officer.demo.0156@warangal.synthetic.gov.in,4.55,Active,True
AGY-SYNTH-0157,Nashik State Renewable Energy Development Corp (Demo) Unit-2,State Renewable Energy Development Corp (Demo),Maharashtra,Nashik,Nodal Officer (Demo Code 157),officer.demo.0157@nashik.synthetic.gov.in,4.11,Active,True
AGY-SYNTH-0158,Thane State Renewable Energy Development Corp (Demo) Unit-3,State Renewable Energy Development Corp (Demo),Maharashtra,Thane,Nodal Officer (Demo Code 158),officer.demo.0158@thane.synthetic.gov.in,3.22,Active,True
AGY-SYNTH-0159,Darjeeling Rural Development Agency (Demo) Unit-4,Rural Development Agency (Demo),West Bengal,Darjeeling,Nodal Officer (Demo Code 159),officer.demo.0159@darjeeling.synthetic.gov.in,3.94,Active,True
AGY-SYNTH-0160,Kolkata Municipal Engineering Cell (Demo) Unit-5,Municipal Engineering Cell (Demo),West Bengal,Kolkata,Nodal Officer (Demo Code 160),officer.demo.0160@kolkata.synthetic.gov.in,3.94,Active,True
AGY-SYNTH-0161,Muzaffarpur Zilla Parishad Engineering Division (Demo) Unit-1,Zilla Parishad Engineering Division (Demo),Bihar,Muzaffarpur,Nodal Officer (Demo Code 161),officer.demo.0161@muzaffarpur.synthetic.gov.in,4.25,Active,True
AGY-SYNTH-0162,Cuttack State Sports Infrastructure Authority (Demo) Unit-2,State Sports Infrastructure Authority (Demo),Odisha,Cuttack,Nodal Officer (Demo Code 162),officer.demo.0162@cuttack.synthetic.gov.in,3.99,Active,True
AGY-SYNTH-0163,Indore Zilla Parishad Engineering Division (Demo) Unit-3,Zilla Parishad Engineering Division (Demo),Madhya Pradesh,Indore,Nodal Officer (Demo Code 163),officer.demo.0163@indore.synthetic.gov.in,3.75,Active,True
AGY-SYNTH-0164,Chennai Zilla Parishad Engineering Division (Demo) Unit-4,Zilla Parishad Engineering Division (Demo),Tamil Nadu,Chennai,Nodal Officer (Demo Code 164),officer.demo.0164@chennai.synthetic.gov.in,4.7,Active,True
AGY-SYNTH-0165,Kolkata Irrigation & Flood Management Dept (Demo) Unit-5,Irrigation & Flood Management Dept (Demo),West Bengal,Kolkata,Nodal Officer (Demo Code 165),officer.demo.0165@kolkata.synthetic.gov.in,3.77,Active,True
AGY-SYNTH-0166,Jaipur Municipal Engineering Cell (Demo) Unit-1,Municipal Engineering Cell (Demo),Rajasthan,Jaipur,Nodal Officer (Demo Code 166),officer.demo.0166@jaipur.synthetic.gov.in,4.03,Active,True
AGY-SYNTH-0167,Varanasi State Renewable Energy Development Corp (Demo) Unit-2,State Renewable Energy Development Corp (Demo),Uttar Pradesh,Varanasi,Nodal Officer (Demo Code 167),officer.demo.0167@varanasi.synthetic.gov.in,3.68,Active,True
AGY-SYNTH-0168,Kanpur Nagar Public Works Dept (Demo) Unit-3,Public Works Dept (Demo),Uttar Pradesh,Kanpur Nagar,Nodal Officer (Demo Code 168),officer.demo.0168@kanpurnagar.synthetic.gov.in,4.08,Active,True
AGY-SYNTH-0169,Lucknow Irrigation & Flood Management Dept (Demo) Unit-4,Irrigation & Flood Management Dept (Demo),Uttar Pradesh,Lucknow,Nodal Officer (Demo Code 169),officer.demo.0169@lucknow.synthetic.gov.in,4.03,Active,True
AGY-SYNTH-0170,Kamrup Metropolitan State Sports Infrastructure Authority (Demo) Unit-5,State Sports Infrastructure Authority (Demo),Assam,Kamrup Metropolitan,Nodal Officer (Demo Code 170),officer.demo.0170@kamrupmetropolitan.synthetic.gov.in,4.3,Active,True
AGY-SYNTH-0171,Visakhapatnam Public Works Dept (Demo) Unit-1,Public Works Dept (Demo),Andhra Pradesh,Visakhapatnam,Nodal Officer (Demo Code 171),officer.demo.0171@visakhapatnam.synthetic.gov.in,3.36,Active,True
AGY-SYNTH-0172,Kamrup Metropolitan Water Supply & Sanitation Board (Demo) Unit-2,Water Supply & Sanitation Board (Demo),Assam,Kamrup Metropolitan,Nodal Officer (Demo Code 172),officer.demo.0172@kamrupmetropolitan.synthetic.gov.in,3.72,Active,True
AGY-SYNTH-0173,North 24 Parganas State Renewable Energy Development Corp (Demo) Unit-3,State Renewable Energy Development Corp (Demo),West Bengal,North 24 Parganas,Nodal Officer (Demo Code 173),officer.demo.0173@north24parganas.synthetic.gov.in,3.92,Active,True
AGY-SYNTH-0174,Jodhpur State Renewable Energy Development Corp (Demo) Unit-4,State Renewable Energy Development Corp (Demo),Rajasthan,Jodhpur,Nodal Officer (Demo Code 174),officer.demo.0174@jodhpur.synthetic.gov.in,4.39,Active,True
AGY-SYNTH-0175,Varanasi Water Supply & Sanitation Board (Demo) Unit-5,Water Supply & Sanitation Board (Demo),Uttar Pradesh,Varanasi,Nodal Officer (Demo Code 175),officer.demo.0175@varanasi.synthetic.gov.in,3.41,Active,True
AGY-SYNTH-0176,Madurai Municipal Engineering Cell (Demo) Unit-1,Municipal Engineering Cell (Demo),Tamil Nadu,Madurai,Nodal Officer (Demo Code 176),officer.demo.0176@madurai.synthetic.gov.in,3.53,Active,True
AGY-SYNTH-0177,Kanpur Nagar Zilla Parishad Engineering Division (Demo) Unit-2,Zilla Parishad Engineering Division (Demo),Uttar Pradesh,Kanpur Nagar,Nodal Officer (Demo Code 177),officer.demo.0177@kanpurnagar.synthetic.gov.in,4.87,Active,True
AGY-SYNTH-0178,Agra Water Supply & Sanitation Board (Demo) Unit-3,Water Supply & Sanitation Board (Demo),Uttar Pradesh,Agra,Nodal Officer (Demo Code 178),officer.demo.0178@agra.synthetic.gov.in,3.81,Active,True
AGY-SYNTH-0179,Dibrugarh Municipal Engineering Cell (Demo) Unit-4,Municipal Engineering Cell (Demo),Assam,Dibrugarh,Nodal Officer (Demo Code 179),officer.demo.0179@dibrugarh.synthetic.gov.in,3.67,Active,True
AGY-SYNTH-0180,Kozhikode Zilla Parishad Engineering Division (Demo) Unit-5,Zilla Parishad Engineering Division (Demo),Kerala,Kozhikode,Nodal Officer (Demo Code 180),officer.demo.0180@kozhikode.synthetic.gov.in,4.39,Active,True
AGY-SYNTH-0181,Khordha State Sports Infrastructure Authority (Demo) Unit-1,State Sports Infrastructure Authority (Demo),Odisha,Khordha,Nodal Officer (Demo Code 181),officer.demo.0181@khordha.synthetic.gov.in,3.37,Suspended (Demo),True
AGY-SYNTH-0182,Agra State Sports Infrastructure Authority (Demo) Unit-2,State Sports Infrastructure Authority (Demo),Uttar Pradesh,Agra,Nodal Officer (Demo Code 182),officer.demo.0182@agra.synthetic.gov.in,4.01,Active,True
AGY-SYNTH-0183,Aurangabad Zilla Parishad Engineering Division (Demo) Unit-3,Zilla Parishad Engineering Division (Demo),Maharashtra,Aurangabad,Nodal Officer (Demo Code 183),officer.demo.0183@aurangabad.synthetic.gov.in,4.8,Active,True
AGY-SYNTH-0184,Thane Irrigation & Flood Management Dept (Demo) Unit-4,Irrigation & Flood Management Dept (Demo),Maharashtra,Thane,Nodal Officer (Demo Code 184),officer.demo.0184@thane.synthetic.gov.in,4.04,Active,True
AGY-SYNTH-0185,Warangal Public Works Dept (Demo) Unit-5,Public Works Dept (Demo),Telangana,Warangal,Nodal Officer (Demo Code 185),officer.demo.0185@warangal.synthetic.gov.in,3.46,Active,True
AGY-SYNTH-0186,Prayagraj Rural Development Agency (Demo) Unit-1,Rural Development Agency (Demo),Uttar Pradesh,Prayagraj,Nodal Officer (Demo Code 186),officer.demo.0186@prayagraj.synthetic.gov.in,4.89,Active,True
AGY-SYNTH-0187,Khordha Irrigation & Flood Management Dept (Demo) Unit-2,Irrigation & Flood Management Dept (Demo),Odisha,Khordha,Nodal Officer (Demo Code 187),officer.demo.0187@khordha.synthetic.gov.in,4.23,Active,True
AGY-SYNTH-0188,Dakshina Kannada Irrigation & Flood Management Dept (Demo) Unit-3,Irrigation & Flood Management Dept (Demo),Karnataka,Dakshina Kannada,Nodal Officer (Demo Code 188),officer.demo.0188@dakshinakannada.synthetic.gov.in,3.97,Active,True
AGY-SYNTH-0189,Indore Irrigation & Flood Management Dept (Demo) Unit-4,Irrigation & Flood Management Dept (Demo),Madhya Pradesh,Indore,Nodal Officer (Demo Code 189),officer.demo.0189@indore.synthetic.gov.in,3.72,Active,True
AGY-SYNTH-0190,Patna Rural Development Agency (Demo) Unit-5,Rural Development Agency (Demo),Bihar,Patna,Nodal Officer (Demo Code 190),officer.demo.0190@patna.synthetic.gov.in,4.81,Active,True
AGY-SYNTH-0191,Belagavi Zilla Parishad Engineering Division (Demo) Unit-1,Zilla Parishad Engineering Division (Demo),Karnataka,Belagavi,Nodal Officer (Demo Code 191),officer.demo.0191@belagavi.synthetic.gov.in,4.32,Active,True
AGY-SYNTH-0192,Mysuru Rural Development Agency (Demo) Unit-2,Rural Development Agency (Demo),Karnataka,Mysuru,Nodal Officer (Demo Code 192),officer.demo.0192@mysuru.synthetic.gov.in,3.47,Active,True
AGY-SYNTH-0193,Kamrup Metropolitan State Sports Infrastructure Authority (Demo) Unit-3,State Sports Infrastructure Authority (Demo),Assam,Kamrup Metropolitan,Nodal Officer (Demo Code 193),officer.demo.0193@kamrupmetropolitan.synthetic.gov.in,3.7,Active,True
AGY-SYNTH-0194,Dibrugarh Zilla Parishad Engineering Division (Demo) Unit-4,Zilla Parishad Engineering Division (Demo),Assam,Dibrugarh,Nodal Officer (Demo Code 194),officer.demo.0194@dibrugarh.synthetic.gov.in,4.4,Active,True
AGY-SYNTH-0195,Warangal Water Supply & Sanitation Board (Demo) Unit-5,Water Supply & Sanitation Board (Demo),Telangana,Warangal,Nodal Officer (Demo Code 195),officer.demo.0195@warangal.synthetic.gov.in,4.77,Active,True
AGY-SYNTH-0196,Gaya Water Supply & Sanitation Board (Demo) Unit-1,Water Supply & Sanitation Board (Demo),Bihar,Gaya,Nodal Officer (Demo Code 196),officer.demo.0196@gaya.synthetic.gov.in,3.92,Active,True
AGY-SYNTH-0197,Muzaffarpur Municipal Engineering Cell (Demo) Unit-2,Municipal Engineering Cell (Demo),Bihar,Muzaffarpur,Nodal Officer (Demo Code 197),officer.demo.0197@muzaffarpur.synthetic.gov.in,4.74,Active,True
AGY-SYNTH-0198,Thane Public Works Dept (Demo) Unit-3,Public Works Dept (Demo),Maharashtra,Thane,Nodal Officer (Demo Code 198),officer.demo.0198@thane.synthetic.gov.in,3.48,Active,True
AGY-SYNTH-0199,Ludhiana Zilla Parishad Engineering Division (Demo) Unit-4,Zilla Parishad Engineering Division (Demo),Punjab,Ludhiana,Nodal Officer (Demo Code 199),officer.demo.0199@ludhiana.synthetic.gov.in,3.95,Active,True
AGY-SYNTH-0200,Prayagraj Irrigation & Flood Management Dept (Demo) Unit-5,Irrigation & Flood Management Dept (Demo),Uttar Pradesh,Prayagraj,Nodal Officer (Demo Code 200),officer.demo.0200@prayagraj.synthetic.gov.in,4.8,Active,True
AGY-SYNTH-0201,Darjeeling State Sports Infrastructure Authority (Demo) Unit-1,State Sports Infrastructure Authority (Demo),West Bengal,Darjeeling,Nodal Officer (Demo Code 201),officer.demo.0201@darjeeling.synthetic.gov.in,3.34,Suspended (Demo),True
AGY-SYNTH-0202,Vadodara State Renewable Energy Development Corp (Demo) Unit-2,State Renewable Energy Development Corp (Demo),Gujarat,Vadodara,Nodal Officer (Demo Code 202),officer.demo.0202@vadodara.synthetic.gov.in,4.23,Suspended (Demo),True
AGY-SYNTH-0203,Dakshina Kannada Public Works Dept (Demo) Unit-3,Public Works Dept (Demo),Karnataka,Dakshina Kannada,Nodal Officer (Demo Code 203),officer.demo.0203@dakshinakannada.synthetic.gov.in,4.9,Active,True
AGY-SYNTH-0204,Kanpur Nagar Public Works Dept (Demo) Unit-4,Public Works Dept (Demo),Uttar Pradesh,Kanpur Nagar,Nodal Officer (Demo Code 204),officer.demo.0204@kanpurnagar.synthetic.gov.in,4.5,Active,True
AGY-SYNTH-0205,Thiruvananthapuram State Sports Infrastructure Authority (Demo) Unit-5,State Sports Infrastructure Authority (Demo),Kerala,Thiruvananthapuram,Nodal Officer (Demo Code 205),officer.demo.0205@thiruvananthapuram.synthetic.gov.in,4.76,Active,True
AGY-SYNTH-0206,Indore Irrigation & Flood Management Dept (Demo) Unit-1,Irrigation & Flood Management Dept (Demo),Madhya Pradesh,Indore,Nodal Officer (Demo Code 206),officer.demo.0206@indore.synthetic.gov.in,4.28,Active,True
AGY-SYNTH-0207,Chennai State Sports Infrastructure Authority (Demo) Unit-2,State Sports Infrastructure Authority (Demo),Tamil Nadu,Chennai,Nodal Officer (Demo Code 207),officer.demo.0207@chennai.synthetic.gov.in,3.79,Active,True
AGY-SYNTH-0208,Hyderabad Rural Development Agency (Demo) Unit-3,Rural Development Agency (Demo),Telangana,Hyderabad,Nodal Officer (Demo Code 208),officer.demo.0208@hyderabad.synthetic.gov.in,4.66,Active,True
AGY-SYNTH-0209,Kamrup Metropolitan State Sports Infrastructure Authority (Demo) Unit-4,State Sports Infrastructure Authority (Demo),Assam,Kamrup Metropolitan,Nodal Officer (Demo Code 209),officer.demo.0209@kamrupmetropolitan.synthetic.gov.in,3.69,Active,True
AGY-SYNTH-0210,Khordha Public Works Dept (Demo) Unit-5,Public Works Dept (Demo),Odisha,Khordha,Nodal Officer (Demo Code 210),officer.demo.0210@khordha.synthetic.gov.in,3.97,Active,True
AGY-SYNTH-0211,Jaipur Rural Development Agency (Demo) Unit-1,Rural Development Agency (Demo),Rajasthan,Jaipur,Nodal Officer (Demo Code 211),officer.demo.0211@jaipur.synthetic.gov.in,4.85,Active,True
AGY-SYNTH-0212,Purba Medinipur Public Works Dept (Demo) Unit-2,Public Works Dept (Demo),West Bengal,Purba Medinipur,Nodal Officer (Demo Code 212),officer.demo.0212@purbamedinipur.synthetic.gov.in,4.32,Active,True
AGY-SYNTH-0213,Surat Public Works Dept (Demo) Unit-3,Public Works Dept (Demo),Gujarat,Surat,Nodal Officer (Demo Code 213),officer.demo.0213@surat.synthetic.gov.in,3.52,Active,True
AGY-SYNTH-0214,Khordha State Sports Infrastructure Authority (Demo) Unit-4,State Sports Infrastructure Authority (Demo),Odisha,Khordha,Nodal Officer (Demo Code 214),officer.demo.0214@khordha.synthetic.gov.in,4.26,Active,True
AGY-SYNTH-0215,Belagavi Zilla Parishad Engineering Division (Demo) Unit-5,Zilla Parishad Engineering Division (Demo),Karnataka,Belagavi,Nodal Officer (Demo Code 215),officer.demo.0215@belagavi.synthetic.gov.in,4.13,Active,True
AGY-SYNTH-0216,Rajkot State Sports Infrastructure Authority (Demo) Unit-1,State Sports Infrastructure Authority (Demo),Gujarat,Rajkot,Nodal Officer (Demo Code 216),officer.demo.0216@rajkot.synthetic.gov.in,3.41,Active,True
AGY-SYNTH-0217,Gwalior Water Supply & Sanitation Board (Demo) Unit-2,Water Supply & Sanitation Board (Demo),Madhya Pradesh,Gwalior,Nodal Officer (Demo Code 217),officer.demo.0217@gwalior.synthetic.gov.in,4.41,Active,True
AGY-SYNTH-0218,Pune Irrigation & Flood Management Dept (Demo) Unit-3,Irrigation & Flood Management Dept (Demo),Maharashtra,Pune,Nodal Officer (Demo Code 218),officer.demo.0218@pune.synthetic.gov.in,3.36,Active,True
AGY-SYNTH-0219,Madurai State Sports Infrastructure Authority (Demo) Unit-4,State Sports Infrastructure Authority (Demo),Tamil Nadu,Madurai,Nodal Officer (Demo Code 219),officer.demo.0219@madurai.synthetic.gov.in,4.81,Active,True
AGY-SYNTH-0220,Salem State Sports Infrastructure Authority (Demo) Unit-5,State Sports Infrastructure Authority (Demo),Tamil Nadu,Salem,Nodal Officer (Demo Code 220),officer.demo.0220@salem.synthetic.gov.in,4.79,Active,True
AGY-SYNTH-0221,Dibrugarh Zilla Parishad Engineering Division (Demo) Unit-1,Zilla Parishad Engineering Division (Demo),Assam,Dibrugarh,Nodal Officer (Demo Code 221),officer.demo.0221@dibrugarh.synthetic.gov.in,3.91,Active,True
AGY-SYNTH-0222,North 24 Parganas Water Supply & Sanitation Board (Demo) Unit-2,Water Supply & Sanitation Board (Demo),West Bengal,North 24 Parganas,Nodal Officer (Demo Code 222),officer.demo.0222@north24parganas.synthetic.gov.in,3.98,Active,True
AGY-SYNTH-0223,Dharwad Municipal Engineering Cell (Demo) Unit-3,Municipal Engineering Cell (Demo),Karnataka,Dharwad,Nodal Officer (Demo Code 223),officer.demo.0223@dharwad.synthetic.gov.in,4.67,Active,True
AGY-SYNTH-0224,Visakhapatnam Irrigation & Flood Management Dept (Demo) Unit-4,Irrigation & Flood Management Dept (Demo),Andhra Pradesh,Visakhapatnam,Nodal Officer (Demo Code 224),officer.demo.0224@visakhapatnam.synthetic.gov.in,3.78,Active,True
AGY-SYNTH-0225,Kanpur Nagar Public Works Dept (Demo) Unit-5,Public Works Dept (Demo),Uttar Pradesh,Kanpur Nagar,Nodal Officer (Demo Code 225),officer.demo.0225@kanpurnagar.synthetic.gov.in,3.68,Active,True
AGY-SYNTH-0226,Indore State Sports Infrastructure Authority (Demo) Unit-1,State Sports Infrastructure Authority (Demo),Madhya Pradesh,Indore,Nodal Officer (Demo Code 226),officer.demo.0226@indore.synthetic.gov.in,4.67,Active,True
AGY-SYNTH-0227,North 24 Parganas State Renewable Energy Development Corp (Demo) Unit-2,State Renewable Energy Development Corp (Demo),West Bengal,North 24 Parganas,Nodal Officer (Demo Code 227),officer.demo.0227@north24parganas.synthetic.gov.in,3.77,Active,True
AGY-SYNTH-0228,Ajmer State Sports Infrastructure Authority (Demo) Unit-3,State Sports Infrastructure Authority (Demo),Rajasthan,Ajmer,Nodal Officer (Demo Code 228),officer.demo.0228@ajmer.synthetic.gov.in,4.79,Active,True
AGY-SYNTH-0229,Kamrup Metropolitan Water Supply & Sanitation Board (Demo) Unit-4,Water Supply & Sanitation Board (Demo),Assam,Kamrup Metropolitan,Nodal Officer (Demo Code 229),officer.demo.0229@kamrupmetropolitan.synthetic.gov.in,4.17,Active,True
