work_id,state,district,constituency,mp_reference,mp_house,work_title,category,agency_id,agency_name,status,estimate_amount,sanctioned_amount,cumulative_payments,expenditure,physical_progress_pct,recommendation_date,sanction_date,work_order_date,commencement_date,target_completion_date,actual_completion_date,latitude,longitude,is_anomaly,anomaly_type,anomaly_description,duplicate_of_work_id,synthetic_demo_data
MPLAD-WRK-002211,West Bengal,Kolkata,Kolkata North Parliamentary Constituency,MP-RAJ-DEMO-030,Rajya Sabha (Demo),Setting up of 25 kW Decentralized Solar Mini-Grid for Village Electrification at Beliaghata Sector-12,Renewable & Solar Energy,AGY-SYNTH-0165,Kolkata Irrigation & Flood Management Dept (Demo) Unit-5,In Progress,641612.04,644425.64,327776.81,299547.35,54.4,2023-05-09,2023-06-12,2023-07-16,2023-08-15,2023-10-23,,22.626242,88.385634,False,,,,True
MPLAD-WRK-002212,Madhya Pradesh,Bhopal,Bhopal Parliamentary Constituency,MP-LOK-DEMO-037,Lok Sabha (Demo),Construction of Bridge over Canal with Approach Roads at Govindpura Sector-7,"Roads, Pathways & Bridges",AGY-SYNTH-0154,Bhopal Irrigation & Flood Management Dept (Demo) Unit-4,Completed,2924102.89,2975204.48,2975204.48,2925669.11,100.0,2024-07-24,2024-08-23,2024-10-07,2024-10-22,2025-07-23,2025-09-10,23.299718,77.347583,False,,,,True
MPLAD-WRK-002213,Karnataka,Bengaluru Urban,Bengaluru South Parliamentary Constituency,MP-LOK-DEMO-011,Lok Sabha (Demo),Construction of Rainwater Harvesting Sump and Recharging Wells at Yelahanka Sector-10,Irrigation & Flood Control,AGY-SYNTH-0059,Bengaluru Urban Irrigation & Flood Management Dept (Demo) Unit-4,Sanctioned,693134.81,687527.83,0.0,0.0,0.0,2022-09-17,2022-11-02,2022-11-18,2022-12-01,2023-10-15,,12.945553,77.619361,False,,,,True
MPLAD-WRK-002214,Andhra Pradesh,Krishna,Machilipatnam Parliamentary Constituency,MP-LOK-DEMO-052,Lok Sabha (Demo),Construction of Farmers Agro-Produce Storage and Community Shed at Gudivada Sector-5,Community Infrastructure & Halls,AGY-SYNTH-0140,Krishna Irrigation & Flood Management Dept (Demo) Unit-5,In Progress,1977601.44,1965781.42,562211.42,517982.35,24.7,2024-11-19,2024-12-22,2025-01-05,2025-01-27,2025-12-22,,16.211989,81.145771,False,,,,True
MPLAD-WRK-002215,Assam,Kamrup Metropolitan,Gauhati Parliamentary Constituency,MP-LOK-DEMO-045,Lok Sabha (Demo),Paving of Paver-Block Pedestrian Pathway and Street Lighting along Chandrapur Sector-15,"Roads, Pathways & Bridges",AGY-SYNTH-0135,Kamrup Metropolitan Public Works Dept (Demo) Unit-5,In Progress,2379772.3,2394106.78,2205555.06,2138773.49,86.9,2023-08-09,2023-09-22,2023-10-08,2023-10-18,2024-09-06,,26.099943,91.712505,False,,,,True
MPLAD-WRK-002216,West Bengal,Kolkata,Kolkata North Parliamentary Constituency,MP-RAJ-DEMO-030,Rajya Sabha (Demo),Provision of Composite Science Laboratory and Library Facility at Bhowanipore Sector-4,Education Infrastructure,AGY-SYNTH-0160,Kolkata Municipal Engineering Cell (Demo) Unit-5,Work Order Issued,978066.6,985165.77,147774.87,73887.43,0.0,2023-09-26,2023-11-12,2023-12-06,2024-01-03,2024-09-11,,22.541101,88.32122,False,,,,True
MPLAD-WRK-002217,Gujarat,Surat,Surat Parliamentary Constituency,MP-LOK-DEMO-027,Lok Sabha (Demo),Procurement of Diagnostic Imaging & Ultrasound Unit for Sub-District Hospital at Kamrej Sector-8,Health & Sanitation,AGY-SYNTH-0133,Surat State Renewable Energy Development Corp (Demo) Unit-3,Recommended,1434949.72,0.0,0.0,0.0,0.0,2024-12-29,,,,,,21.17166,72.853263,False,,,,True
MPLAD-WRK-002218,Tamil Nadu,Chennai,Chennai Central Parliamentary Constituency,MP-RAJ-DEMO-006,Rajya Sabha (Demo),Setting up of Digital STEM Learning and Computer Laboratory at Govt School in Velachery Sector-8,Education Infrastructure,AGY-SYNTH-0039,Chennai Rural Development Agency (Demo) Unit-4,In Progress,583563.29,588452.76,279701.23,244416.57,46.8,2024-02-25,2024-03-22,2024-05-02,2024-06-01,2025-01-21,,13.083956,80.226048,False,,,,True
MPLAD-WRK-002219,Odisha,Khordha,Bhubaneswar Parliamentary Constituency,MP-LOK-DEMO-049,Lok Sabha (Demo),Setting up of Rooftop Solar Power Plant with Battery Backup for PHC at Jatni Sector-14,Renewable & Solar Energy,AGY-SYNTH-0187,Khordha Irrigation & Flood Management Dept (Demo) Unit-2,Completed,675689.04,662896.03,662896.03,648530.69,100.0,2024-04-10,2024-05-11,2024-06-25,2024-07-25,2024-10-05,2024-09-27,20.225185,85.860496,False,,,,True
MPLAD-WRK-002220,Rajasthan,Kota,Kota Parliamentary Constituency,MP-RAJ-DEMO-024,Rajya Sabha (Demo),Construction of Modern Primary Health Sub-Centre (PHC) Building at Kota South Sector-11,Health & Sanitation,AGY-SYNTH-0016,Kota Municipal Engineering Cell (Demo) Unit-1,In Progress,700936.44,706841.8,553114.25,531766.09,79.5,2025-01-21,2025-02-12,2025-03-10,2025-03-20,2025-11-25,,25.174029,75.823902,False,,,,True
MPLAD-WRK-002221,Telangana,Hyderabad,Hyderabad Parliamentary Constituency,MP-LOK-DEMO-043,Lok Sabha (Demo),Installation of Community Lift Irrigation Scheme with Pipeline for Farmlands in Charminar Sector-2,Irrigation & Flood Control,AGY-SYNTH-0208,Hyderabad Rural Development Agency (Demo) Unit-3,Stalled,2359242.07,2299604.04,862654.63,690123.7,25.1,2024-11-09,2024-12-10,2025-01-10,2025-02-04,2025-09-29,,17.390138,78.453928,False,,,,True
MPLAD-WRK-002222,Gujarat,Ahmedabad,Ahmedabad East Parliamentary Constituency,MP-LOK-DEMO-026,Lok Sabha (Demo),Construction of Over-Head Water Storage Tank and Distribution Pipeline in Ahmedabad City Sector-6,Drinking Water,AGY-SYNTH-0121,Ahmedabad Water Supply & Sanitation Board (Demo) Unit-1,Completed,795330.4,799140.77,799140.77,778366.65,100.0,2023-05-07,2023-06-02,2023-07-15,2023-07-30,2023-11-10,2023-12-05,22.974627,72.629221,False,,,,True
MPLAD-WRK-002223,Maharashtra,Nagpur,Nagpur Parliamentary Constituency,MP-LOK-DEMO-002,Lok Sabha (Demo),Upgradation of Cultural Community Centre and Public Amphitheater at Saoner Sector-15,Community Infrastructure & Halls,AGY-SYNTH-0243,Nagpur Public Works Dept (Demo) Unit-3,Completed,4009449.87,4052460.21,4052460.21,4015688.9,100.0,2022-10-12,2022-12-07,2023-01-07,2023-01-18,2023-10-13,2023-10-13,21.118273,79.020139,False,,,,True
MPLAD-WRK-002224,Gujarat,Vadodara,Vadodara Parliamentary Constituency,MP-LOK-DEMO-028,Lok Sabha (Demo),Construction of Youth Skill Development & Vocational Training Centre at Karjan Sector-3,Sports & Youth Development,AGY-SYNTH-0086,Vadodara Public Works Dept (Demo) Unit-1,Completed,1223971.73,1188516.57,1188516.57,1182313.07,100.0,2025-01-02,2025-02-12,2025-03-25,2025-04-06,2025-11-16,2025-11-13,22.25704,73.215909,False,,,,True
MPLAD-WRK-002225,Tamil Nadu,Salem,Salem Parliamentary Constituency,MP-LOK-DEMO-010,Lok Sabha (Demo),Establishment of Solid Waste Management & Segregation Facility at Mettur Sector-4,Health & Sanitation,AGY-SYNTH-0220,Salem State Sports Infrastructure Authority (Demo) Unit-5,Completed,1189291.16,1167672.02,1167672.02,1141714.06,100.0,2023-10-01,2023-10-23,2023-11-10,2023-11-29,2024-04-29,2024-06-16,11.713699,78.182957,False,,,,True
MPLAD-WRK-002226,Maharashtra,Nashik,Nashik Parliamentary Constituency,MP-LOK-DEMO-003,Lok Sabha (Demo),Construction of Additional Smart Classrooms for Govt Higher Secondary School at Sinnar Sector-14,Education Infrastructure,AGY-SYNTH-0102,Nashik Rural Development Agency (Demo) Unit-2,Completed,907233.24,918799.16,918799.16,910373.98,100.0,2024-05-22,2024-06-20,2024-07-05,2024-08-02,2025-04-22,2025-04-15,20.017411,73.737709,False,,,,True
MPLAD-WRK-002227,Madhya Pradesh,Indore,Indore Parliamentary Constituency,MP-LOK-DEMO-038,Lok Sabha (Demo),Rehabilitation of Traditional Irrigation Tank and Sluice Gate System at Rau Sector-5,Irrigation & Flood Control,AGY-SYNTH-0065,Indore State Sports Infrastructure Authority (Demo) Unit-5,Completed,1167118.2,1165184.39,1165184.39,1142031.42,100.0,2024-07-22,2024-08-23,2024-09-09,2024-09-23,2025-06-09,2025-05-23,22.761083,75.914252,False,,,,True
MPLAD-WRK-002228,Maharashtra,Aurangabad,Aurangabad Parliamentary Constituency,MP-LOK-DEMO-004,Lok Sabha (Demo),Setting up of Rooftop Solar Power Plant with Battery Backup for PHC at Vaijapur Sector-12,Renewable & Solar Energy,AGY-SYNTH-0147,Aurangabad State Renewable Energy Development Corp (Demo) Unit-2,Completed,757150.9,738944.82,738944.82,728618.61,100.0,2024-08-06,2024-09-03,2024-10-17,2024-11-08,2025-04-09,2025-04-13,19.916682,75.415131,False,,,,True
MPLAD-WRK-002229,West Bengal,North 24 Parganas,Barasat Parliamentary Constituency,MP-LOK-DEMO-031,Lok Sabha (Demo),Construction of Modern Crematorium / Burial Ground Amenities with Shed at Barrackpore Sector-3,Community Infrastructure & Halls,AGY-SYNTH-0150,North 24 Parganas Rural Development Agency (Demo) Unit-5,Completed,3612622.42,3547453.81,3547453.81,3534387.06,100.0,2024-10-18,2024-11-05,2024-11-24,2024-12-10,2025-09-05,2025-10-06,22.794014,88.419964,False,,,,True
MPLAD-WRK-002230,Andhra Pradesh,Visakhapatnam,Visakhapatnam Parliamentary Constituency,MP-LOK-DEMO-051,Lok Sabha (Demo),Construction of Farmers Agro-Produce Storage and Community Shed at Visakhapatnam South Sector-13,Community Infrastructure & Halls,AGY-SYNTH-0103,Visakhapatnam State Renewable Energy Development Corp (Demo) Unit-3,In Progress,1487876.12,1507898.92,804029.76,694369.98,43.7,2022-08-14,2022-09-04,2022-10-18,2022-10-31,2023-07-06,,17.649087,83.242349,False,,,,True
MPLAD-WRK-002231,Karnataka,Dharwad,Dharwad Parliamentary Constituency,MP-LOK-DEMO-013,Lok Sabha (Demo),Rejuvenation of Traditional Drinking Water Stepwell and Filter Beds at Navalgund Sector-6,Drinking Water,AGY-SYNTH-0110,Dharwad Irrigation & Flood Management Dept (Demo) Unit-5,In Progress,254822.26,250531.45,203259.43,190635.6,85.0,2024-03-31,2024-05-08,2024-05-21,2024-06-06,2024-12-30,,15.430058,75.037065,False,,,,True
MPLAD-WRK-002232,Rajasthan,Jodhpur,Jodhpur Parliamentary Constituency,MP-LOK-DEMO-022,Lok Sabha (Demo),Setting up of 25 kW Decentralized Solar Mini-Grid for Village Electrification at Sardarpura Sector-3,Renewable & Solar Energy,AGY-SYNTH-0237,Jodhpur Irrigation & Flood Management Dept (Demo) Unit-2,Completed,873920.73,836223.85,836223.85,829225.92,100.0,2022-04-27,2022-05-18,2022-06-30,2022-07-30,2022-11-16,2022-12-10,26.175302,72.951528,False,,,,True
MPLAD-WRK-002233,Karnataka,Belagavi,Belgaum Parliamentary Constituency,MP-LOK-DEMO-014,Lok Sabha (Demo),Installation of Community Water Purification and Dispensing Unit at Athani Sector-7,Drinking Water,AGY-SYNTH-0134,Belagavi Irrigation & Flood Management Dept (Demo) Unit-4,In Progress,794397.66,787325.26,226068.03,200510.28,31.7,2023-10-16,2023-11-24,2023-12-26,2024-01-16,2024-04-26,,15.805037,74.514469,False,,,,True
MPLAD-WRK-002234,Karnataka,Dharwad,Dharwad Parliamentary Constituency,MP-LOK-DEMO-013,Lok Sabha (Demo),Construction of Multi-Sport Outdoor Gymnasium and Fitness Arena at Kalghatgi Sector-10,Sports & Youth Development,AGY-SYNTH-0035,Dharwad Municipal Engineering Cell (Demo) Unit-5,In Progress,1363876.39,1329080.52,1074542.99,951813.75,77.0,2025-02-01,2025-02-16,2025-03-30,2025-04-17,2025-11-28,,15.478025,75.0053,False,,,,True
MPLAD-WRK-002235,Gujarat,Vadodara,Vadodara Parliamentary Constituency,MP-LOK-DEMO-028,Lok Sabha (Demo),Construction of Public Sanitation Complex and Bio-Toilet Block at Vadodara City Sector-10,Health & Sanitation,AGY-SYNTH-0028,Vadodara Rural Development Agency (Demo) Unit-3,In Progress,481038.77,478101.58,410248.61,362408.68,90.5,2022-11-26,2022-12-21,2023-01-10,2023-02-07,2023-08-17,,22.320278,73.133984,False,,,,True
MPLAD-WRK-002236,Karnataka,Belagavi,Belgaum Parliamentary Constituency,MP-LOK-DEMO-014,Lok Sabha (Demo),Procurement of Diagnostic Imaging & Ultrasound Unit for Sub-District Hospital at Belagavi Rural Sector-2,Health & Sanitation,AGY-SYNTH-0215,Belagavi Zilla Parishad Engineering Division (Demo) Unit-5,Completed,599783.88,586221.37,586221.37,571885.5,100.0,2024-11-10,2024-12-06,2024-12-17,2024-12-28,2025-06-05,2025-07-31,15.794694,74.525889,False,,,,True
MPLAD-WRK-002237,Gujarat,Ahmedabad,Ahmedabad East Parliamentary Constituency,MP-LOK-DEMO-026,Lok Sabha (Demo),Construction of Multi-Sport Outdoor Gymnasium and Fitness Arena at Viramgam Sector-11,Sports & Youth Development,AGY-SYNTH-0121,Ahmedabad Water Supply & Sanitation Board (Demo) Unit-1,In Progress,1336128.84,1316006.27,1218868.75,1109258.46,90.8,2024-09-02,2024-09-22,2024-10-21,2024-11-12,2025-07-17,,23.040927,72.513259,False,,,,True
MPLAD-WRK-002238,Punjab,Ludhiana,Ludhiana Parliamentary Constituency,MP-RAJ-DEMO-048,Rajya Sabha (Demo),Construction of Village Panchayat Sabha Bhawan and Citizen Service Centre at Ludhiana Central Sector-4,Community Infrastructure & Halls,AGY-SYNTH-0115,Ludhiana Municipal Engineering Cell (Demo) Unit-5,In Progress,2269282.5,2281738.86,1933609.93,1818061.74,86.6,2023-08-02,2023-09-23,2023-10-03,2023-10-13,2024-09-05,,30.970426,75.798027,False,,,,True
MPLAD-WRK-002239,Odisha,Cuttack,Cuttack Parliamentary Constituency,MP-LOK-DEMO-050,Lok Sabha (Demo),Provision of Advanced Mobile Medical Diagnostic Van and Equipment for Banki Sector-10,Health & Sanitation,AGY-SYNTH-0020,Cuttack Public Works Dept (Demo) Unit-5,In Progress,1551086.71,1550709.28,1034539.69,958848.3,61.4,2024-05-01,2024-06-14,2024-06-24,2024-07-09,2025-02-07,,20.455858,85.827266,False,,,,True
MPLAD-WRK-002240,Rajasthan,Udaipur,Udaipur Parliamentary Constituency,MP-LOK-DEMO-023,Lok Sabha (Demo),Upgradation of Pediatric & Maternal Care Ward at Community Health Centre in Mavli Sector-10,Health & Sanitation,AGY-SYNTH-0253,Udaipur Zilla Parishad Engineering Division (Demo) Unit-3,In Progress,1307299.98,1299733.52,1142496.88,1102968.81,84.5,2024-10-04,2024-11-28,2025-01-09,2025-02-05,2025-10-15,,24.588102,73.725563,False,,,,True
MPLAD-WRK-002241,Odisha,Khordha,Bhubaneswar Parliamentary Constituency,MP-LOK-DEMO-049,Lok Sabha (Demo),Installation of Community Water Purification and Dispensing Unit at Bhubaneswar Central Sector-6,Drinking Water,AGY-SYNTH-0122,Khordha Rural Development Agency (Demo) Unit-2,In Progress,368524.77,365348.11,78612.12,69557.09,20.7,2023-04-04,2023-05-30,2023-07-13,2023-07-28,2024-01-12,,20.325771,85.864767,False,,,,True
MPLAD-WRK-002242,West Bengal,Darjeeling,Darjeeling Parliamentary Constituency,MP-LOK-DEMO-032,Lok Sabha (Demo),Construction of Check Dam and Water Harvesting Percolation Structure across Nullah at Matigara Sector-15,Irrigation & Flood Control,AGY-SYNTH-0139,Darjeeling Public Works Dept (Demo) Unit-4,Completed,2051817.09,1978116.18,1978116.18,1933136.61,100.0,2022-09-22,2022-10-26,2022-11-06,2022-11-16,2023-08-04,2023-09-05,27.021052,88.207741,False,,,,True
MPLAD-WRK-002243,Bihar,Muzaffarpur,Muzaffarpur Parliamentary Constituency,MP-RAJ-DEMO-042,Rajya Sabha (Demo),Construction of Village Panchayat Sabha Bhawan and Citizen Service Centre at Muzaffarpur West Sector-1,Community Infrastructure & Halls,AGY-SYNTH-0197,Muzaffarpur Municipal Engineering Cell (Demo) Unit-2,Completed,1444770.44,1389577.81,1389577.81,1375584.66,100.0,2025-01-01,2025-02-15,2025-03-19,2025-04-01,2025-11-26,2026-01-20,26.068696,85.412419,False,,,,True
MPLAD-WRK-002244,Uttar Pradesh,Agra,Agra Parliamentary Constituency,MP-LOK-DEMO-019,Lok Sabha (Demo),Laying of Potable Water Supply Pipeline Network connecting Etmadpur Sector-2 to Agra North Village-25,Drinking Water,AGY-SYNTH-0249,Agra Municipal Engineering Cell (Demo) Unit-4,Completed,808491.13,814994.28,814994.28,810636.01,100.0,2022-05-25,2022-06-30,2022-08-09,2022-09-08,2022-12-21,2022-12-30,27.232796,77.980894,False,,,,True
MPLAD-WRK-002245,Karnataka,Mysuru,Mysore Parliamentary Constituency,MP-RAJ-DEMO-012,Rajya Sabha (Demo),Laying of Potable Water Supply Pipeline Network connecting Mysuru City Sector-3 to T. Narasipura Village-16,Drinking Water,AGY-SYNTH-0192,Mysuru Rural Development Agency (Demo) Unit-2,Completed,934716.88,891753.1,891753.1,868719.1,100.0,2024-08-24,2024-09-24,2024-10-28,2024-11-08,2025-04-14,2025-06-01,12.287542,76.700068,False,,,,True
MPLAD-WRK-002246,Tamil Nadu,Chennai,Chennai Central Parliamentary Constituency,MP-RAJ-DEMO-006,Rajya Sabha (Demo),Provision of Composite Science Laboratory and Library Facility at Tondiarpet Sector-9,Education Infrastructure,AGY-SYNTH-0164,Chennai Zilla Parishad Engineering Division (Demo) Unit-4,Completed,1425405.86,1418575.21,1418575.21,1376838.82,100.0,2022-12-21,2023-01-12,2023-02-18,2023-03-09,2023-11-22,2023-11-24,13.133819,80.206328,False,,,,True
MPLAD-WRK-002247,Rajasthan,Udaipur,Udaipur Parliamentary Constituency,MP-LOK-DEMO-023,Lok Sabha (Demo),Development of Senior Citizens Recreation Park and Open-Air Pavilion at Udaipur Rural Sector-14,Community Infrastructure & Halls,AGY-SYNTH-0052,Udaipur Irrigation & Flood Management Dept (Demo) Unit-2,Completed,1804165.59,1802619.22,1802619.22,1793435.41,100.0,2023-04-25,2023-05-14,2023-06-13,2023-06-27,2024-02-22,2024-04-18,24.618283,73.699334,False,,,,True
MPLAD-WRK-002248,Karnataka,Dharwad,Dharwad Parliamentary Constituency,MP-LOK-DEMO-013,Lok Sabha (Demo),Installation of Solar Water Pumping System for Community Agriculture at Dharwad Urban Sector-10,Renewable & Solar Energy,AGY-SYNTH-0035,Dharwad Municipal Engineering Cell (Demo) Unit-5,Work Order Issued,781879.53,759148.61,113872.29,56936.14,0.0,2024-11-08,2024-12-04,2024-12-15,2024-12-25,2025-05-05,,15.404421,75.001155,False,,,,True
MPLAD-WRK-002249,Gujarat,Ahmedabad,Ahmedabad East Parliamentary Constituency,MP-LOK-DEMO-026,Lok Sabha (Demo),Construction of Indoor Gymnasium and Physical Training Centre at Bavla Sector-4,Sports & Youth Development,AGY-SYNTH-0060,Ahmedabad Public Works Dept (Demo) Unit-5,Completed,982738.41,958216.82,958216.82,936484.02,100.0,2024-11-20,2024-12-06,2025-01-06,2025-01-27,2025-07-21,2025-08-10,22.956517,72.609969,False,,,,True
MPLAD-WRK-002250,Gujarat,Vadodara,Vadodara Parliamentary Constituency,MP-LOK-DEMO-028,Lok Sabha (Demo),Upgradation of Cultural Community Centre and Public Amphitheater at Waghodia Sector-9,Community Infrastructure & Halls,AGY-SYNTH-0028,Vadodara Rural Development Agency (Demo) Unit-3,Recommended,2430983.62,0.0,0.0,0.0,0.0,2023-01-12,,,,,,22.283505,73.250229,False,,,,True
MPLAD-WRK-002251,Tamil Nadu,Madurai,Madurai Parliamentary Constituency,MP-LOK-DEMO-008,Lok Sabha (Demo),Construction of Rainwater Harvesting Sump and Recharging Wells at Usilampatti Sector-13,Irrigation & Flood Control,AGY-SYNTH-0124,Madurai State Sports Infrastructure Authority (Demo) Unit-4,In Progress,2602061.46,2598161.23,795610.11,735177.61,21.5,2022-12-22,2023-01-24,2023-02-25,2023-03-09,2024-01-20,,9.925505,78.08021,False,,,,True
MPLAD-WRK-002252,West Bengal,North 24 Parganas,Barasat Parliamentary Constituency,MP-LOK-DEMO-031,Lok Sabha (Demo),Installation of Community Lift Irrigation Scheme with Pipeline for Farmlands in Basirhat Sector-14,Irrigation & Flood Control,AGY-SYNTH-0222,North 24 Parganas Water Supply & Sanitation Board (Demo) Unit-2,Completed,1925340.58,1915138.83,1915138.83,1870582.64,100.0,2024-07-04,2024-08-01,2024-08-21,2024-09-05,2025-07-15,2025-06-27,22.712476,88.469266,False,,,,True
MPLAD-WRK-002253,West Bengal,North 24 Parganas,Barasat Parliamentary Constituency,MP-LOK-DEMO-031,Lok Sabha (Demo),Installation of Rooftop Solar Energy System for Govt Educational Complex at Barasat Sector-2,Education Infrastructure,AGY-SYNTH-0173,North 24 Parganas State Renewable Energy Development Corp (Demo) Unit-3,Work Order Issued,3030023.41,2893238.43,433985.76,216992.88,0.0,2023-07-13,2023-09-07,2023-10-15,2023-10-29,2024-08-12,,22.701591,88.504198,False,,,,True
MPLAD-WRK-002254,Andhra Pradesh,Visakhapatnam,Visakhapatnam Parliamentary Constituency,MP-LOK-DEMO-051,Lok Sabha (Demo),Provision of Composite Science Laboratory and Library Facility at Anakapalli Sector-10,Education Infrastructure,AGY-SYNTH-0103,Visakhapatnam State Renewable Energy Development Corp (Demo) Unit-3,In Progress,1954734.81,1912282.4,855408.45,776150.96,47.9,2024-12-30,2025-01-29,2025-03-07,2025-03-24,2025-11-14,,17.614375,83.276527,False,,,,True
MPLAD-WRK-002255,Maharashtra,Thane,Thane Parliamentary Constituency,MP-LOK-DEMO-005,Lok Sabha (Demo),Construction of Additional Smart Classrooms for Govt Higher Secondary School at Kalyan Sector-2,Education Infrastructure,AGY-SYNTH-0073,Thane Public Works Dept (Demo) Unit-3,Completed,2227363.29,2154670.75,2154670.75,2118313.66,100.0,2022-08-22,2022-09-16,2022-09-26,2022-10-15,2023-05-19,2023-07-10,19.235955,73.006985,False,,,,True
MPLAD-WRK-002256,Kerala,Ernakulam,Ernakulam Parliamentary Constituency,MP-LOK-DEMO-035,Lok Sabha (Demo),Construction of Additional Smart Classrooms for Govt Higher Secondary School at Kanayannur Sector-10,Education Infrastructure,AGY-SYNTH-0106,Ernakulam Water Supply & Sanitation Board (Demo) Unit-1,In Progress,1482962.77,1427085.21,915222.27,779099.1,56.7,2024-12-03,2025-01-13,2025-01-28,2025-02-26,2025-11-27,,10.044061,76.264905,False,,,,True
MPLAD-WRK-002257,Tamil Nadu,Chennai,Chennai Central Parliamentary Constituency,MP-RAJ-DEMO-006,Rajya Sabha (Demo),Rehabilitation of Traditional Irrigation Tank and Sluice Gate System at Egmore Sector-5,Irrigation & Flood Control,AGY-SYNTH-0009,Chennai Irrigation & Flood Management Dept (Demo) Unit-4,Completed,1698336.16,1721165.89,1721165.89,1697976.85,100.0,2022-12-25,2023-01-29,2023-03-08,2023-04-01,2023-11-22,2023-12-01,13.017917,80.283844,False,,,,True
MPLAD-WRK-002258,Uttar Pradesh,Kanpur Nagar,Kanpur Parliamentary Constituency,MP-RAJ-DEMO-018,Rajya Sabha (Demo),Construction of Modern Primary Health Sub-Centre (PHC) Building at Kanpur Central Sector-10,Health & Sanitation,AGY-SYNTH-0225,Kanpur Nagar Public Works Dept (Demo) Unit-5,Completed,1642809.83,1629488.79,1629488.79,1604191.11,100.0,2024-07-25,2024-09-18,2024-10-20,2024-11-03,2025-06-09,2025-05-24,26.453002,80.270701,False,,,,True
MPLAD-WRK-002259,Tamil Nadu,Coimbatore,Coimbatore Parliamentary Constituency,MP-LOK-DEMO-007,Lok Sabha (Demo),Setting up of Digital STEM Learning and Computer Laboratory at Govt School in Sulur Sector-2,Education Infrastructure,AGY-SYNTH-0015,Coimbatore Irrigation & Flood Management Dept (Demo) Unit-5,Completed,1348085.46,1288849.71,1288849.71,1255519.12,100.0,2022-06-23,2022-07-31,2022-08-19,2022-08-29,2023-04-19,2023-06-01,10.985844,76.885516,False,,,,True
MPLAD-WRK-002260,Karnataka,Bengaluru Urban,Bengaluru South Parliamentary Constituency,MP-LOK-DEMO-011,Lok Sabha (Demo),Reconstruction of Damaged All-Weather Village Connectivity Road at Anekal Sector-6,"Roads, Pathways & Bridges",AGY-SYNTH-0066,Bengaluru Urban Public Works Dept (Demo) Unit-1,In Progress,2395937.2,2414842.26,1562497.35,1429281.09,61.8,2024-10-09,2024-10-24,2024-11-19,2024-12-15,2025-09-22,,13.034255,77.637161,False,,,,True
MPLAD-WRK-002261,Gujarat,Rajkot,Rajkot Parliamentary Constituency,MP-LOK-DEMO-029,Lok Sabha (Demo),Construction of Farmers Agro-Produce Storage and Community Shed at Jetpur Sector-10,Community Infrastructure & Halls,AGY-SYNTH-0234,Rajkot Rural Development Agency (Demo) Unit-4,Recommended,3642797.54,0.0,0.0,0.0,0.0,2022-09-11,,,,,,22.37001,70.76405,False,,,,True
MPLAD-WRK-002262,Madhya Pradesh,Indore,Indore Parliamentary Constituency,MP-LOK-DEMO-038,Lok Sabha (Demo),Installation of RO Clean Drinking Water Plant at Depalpur Sector-8,Drinking Water,AGY-SYNTH-0025,Indore Irrigation & Flood Management Dept (Demo) Unit-5,Completed,742942.52,721128.39,721128.39,715244.94,100.0,2023-01-29,2023-02-25,2023-03-12,2023-04-09,2023-07-20,2023-07-26,22.688094,75.909729,False,,,,True
MPLAD-WRK-002263,Uttar Pradesh,Prayagraj,Allahabad Parliamentary Constituency,MP-LOK-DEMO-020,Lok Sabha (Demo),Paving of Paver-Block Pedestrian Pathway and Street Lighting along Bara Sector-2,"Roads, Pathways & Bridges",AGY-SYNTH-0153,Prayagraj Rural Development Agency (Demo) Unit-3,In Progress,2835797.35,2843838.27,1790954.03,1683453.73,58.2,2023-11-27,2023-12-12,2024-01-18,2024-02-13,2024-11-22,,25.410925,81.887591,False,,,,True
MPLAD-WRK-002264,Andhra Pradesh,Visakhapatnam,Visakhapatnam Parliamentary Constituency,MP-LOK-DEMO-051,Lok Sabha (Demo),Reconstruction of Damaged All-Weather Village Connectivity Road at Bheemunipatnam Sector-14,"Roads, Pathways & Bridges",AGY-SYNTH-0171,Visakhapatnam Public Works Dept (Demo) Unit-1,Stalled,3642885.54,3611830.84,1715200.42,1372160.34,29.6,2022-05-05,2022-06-27,2022-07-18,2022-08-01,2023-07-15,,17.741853,83.198041,False,,,,True
MPLAD-WRK-002265,Madhya Pradesh,Indore,Indore Parliamentary Constituency,MP-LOK-DEMO-038,Lok Sabha (Demo),"Desilting, Deepening and Concrete Lining of Agricultural Irrigation Canal from Sanwer Sector-12 to Mhow Village-4",Irrigation & Flood Control,AGY-SYNTH-0070,Indore State Renewable Energy Development Corp (Demo) Unit-5,Completed,1110378.96,1073635.4,1073635.4,1066978.39,100.0,2023-04-10,2023-05-11,2023-06-12,2023-07-11,2024-05-14,2024-06-08,22.724672,75.864782,False,,,,True
MPLAD-WRK-002266,Maharashtra,Nagpur,Nagpur Parliamentary Constituency,MP-LOK-DEMO-002,Lok Sabha (Demo),Upgradation of Cultural Community Centre and Public Amphitheater at Nagpur Urban Sector-11,Community Infrastructure & Halls,AGY-SYNTH-0243,Nagpur Public Works Dept (Demo) Unit-3,Completed,2054214.02,2087296.6,2087296.6,2044998.41,100.0,2023-04-23,2023-05-11,2023-06-02,2023-06-29,2024-03-20,2024-04-23,21.09212,79.030778,False,,,,True
